,Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Total,المؤشر, الشهر,
,,Tourists Spending (SAR),"60,308,176","328,844,999","469,044,609","1,281,479,061","158,954,443","104,607,088","66,347,488","373,609,572","1,883,922,232","71,110,193","117,727,118","1,518,754,824","278,846,759","6,713,556,561",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),"265,081","616,403","1,293,412","1,395,174","241,338","152,348","140,792","650,764","2,726,540","156,630","134,262","1,488,316","286,800","9,547,860",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),"333,593,080","789,866,878","1,895,929,411","1,681,866,034","369,684,068","267,506,904","188,805,279","689,960,044","5,891,430,331","237,702,768","286,359,871","2,273,401,954","505,486,595","15,411,593,216",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),"249,008","384,155","1,192,372","1,222,664","130,601","113,161","100,025","523,139","2,204,132","104,720","85,676","1,497,871","310,732","8,118,256",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"345,643,556","545,137,601","1,909,364,783","1,511,213,106","201,965,980","138,910,048","241,909,400","439,188,406","2,802,709,650","111,713,419","98,630,290","2,438,841,378","475,582,345","11,260,809,963",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),"104,824","304,713","646,052","1,197,714","134,874","130,252","82,476","525,512","1,975,918","95,194","77,579","1,449,446","261,394","6,985,948",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"87,179,753","421,191,520","711,899,089","1,541,475,919","166,100,534","187,360,472","103,321,667","527,780,903","2,159,581,463","94,008,945","161,675,029","2,072,123,481","393,059,530","8,626,758,304",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),"62,547","306,215","470,275","1,092,625","141,959","116,191","90,373","454,869","1,584,524","96,795","72,992","1,357,970","226,492","6,073,827",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"52,442,868","269,280,242","605,214,901","1,526,308,843","303,571,791","151,310,718","99,242,542","468,771,268","1,933,728,733","221,809,466","98,590,081","2,327,375,994","251,237,861","8,308,885,309",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),"40,069","321,187","456,876","1,071,765","124,394","122,749","89,601","444,321","1,610,516","87,871","83,342","1,476,108","273,220","6,202,019",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"46,273,685","559,250,755","725,467,903","1,404,267,760","182,639,236","129,112,932","142,314,923","406,987,207","1,707,396,135","270,084,319","128,733,542","3,033,582,740","333,798,788","9,069,909,925",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),"53,722","454,746","641,634","1,404,080","216,386","254,341","135,644","678,525","2,143,437","100,409","111,255","1,765,195","260,953","8,220,327",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"39,580,899","497,989,964","810,847,896","1,652,264,468","255,884,048","361,109,267","190,255,767","642,794,451","2,256,558,504","206,124,828","244,937,410","3,251,684,598","359,184,427","10,769,216,526",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),"43,725","334,759","556,564","1,017,995","131,549","204,674","86,711","503,420","1,658,113","98,814","82,463","1,533,375","231,927","6,484,089",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"45,747,471","427,476,890","768,315,366","1,106,544,241","233,608,853","243,066,902","110,642,758","596,799,990","1,713,005,009","278,723,766","184,752,050","2,978,127,648","433,175,293","9,119,986,237",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"1,070,829","4,564,532","7,656,609","13,457,364","1,835,817","2,172,361","1,138,877","6,003,200","22,625,010","1,160,482","1,070,445","16,347,778","2,817,058","81,920,362",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"1,237,245,074","5,654,113,073","10,581,175,811","16,791,923,359","2,780,220,606","2,669,674,049","1,683,147,448","6,265,363,548","29,941,071,960","2,041,291,277","1,984,018,847","28,575,946,726","4,201,541,773","114,406,733,550",إنفاق السياح (ريال),,
